ensembl_gene_id	ensembl_exon_id	chromosome_name	exon_chrom_start	exon_chrom_end	strand	external_gene_name	gene_biotype	transcript_biotype
ENSG00000104904	ENSE00003616647	19	2269509	2269744	1	OAZ1	protein_coding	nonsense_mediated_decay
ENSG00000104904	ENSE00003708227	19	2271782	2271954	1	OAZ1	protein_coding	nonsense_mediated_decay
ENSG00000104904	ENSE00003694400	19	2272735	2272820	1	OAZ1	protein_coding	nonsense_mediated_decay
ENSG00000104904	ENSE00002720570	19	2272972	2273488	1	OAZ1	protein_coding	nonsense_mediated_decay
ENSG00000104904	ENSE00003464257	19	2269515	2269744	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002711822	19	2271385	2271530	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002968781	19	2271782	2272262	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00003694400	19	2272735	2272820	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00001282935	19	2269520	2269744	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002695659	19	2271385	2271954	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002708908	19	2272972	2273221	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002718380	19	2269520	2269744	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00003426457	19	2271385	2271442	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00001282887	19	2271444	2271530	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00003708177	19	2271782	2271954	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00003672574	19	2272735	2272820	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00001723967	19	2272972	2273490	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00002696669	19	2269534	2269744	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00002730321	19	2271391	2271442	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00002973187	19	2272972	2273331	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00002687755	19	2269549	2269744	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002806154	19	2272735	2273325	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00003708952	19	2270291	2270676	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00003705870	19	2271385	2271530	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00002937352	19	2272735	2272809	1	OAZ1	protein_coding	protein_coding
ENSG00000104904	ENSE00002814742	19	2270657	2273488	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002822797	19	2271319	2271954	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002762203	19	2272735	2272777	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00003660527	19	2271782	2271954	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002707292	19	2271362	2271530	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00003623479	19	2272972	2273269	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002955168	19	2272524	2272820	1	OAZ1	protein_coding	retained_intron
ENSG00000104904	ENSE00002710029	19	2272972	2273331	1	OAZ1	protein_coding	retained_intron
